method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,minmax,0.256,0.469,0.7645,1.0,0.256,0.3760512294946459,0.49612905726776185,0.5800158498317011,0.449175,0.449175,6.0,6.0,6.0,True,0.6831666666666667,0.955,0.4191999999999999,0.10017644460573204,0.054801661620187896,0.09688644688644693
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.5,0.5,minmax,0.302,0.6205,0.865,1.0,0.302,0.4835735229839336,0.5839437694635073,0.6320317397230903,0.5145833333333334,0.5145833333333334,6.0,6.0,6.0,True,0.7543333333333333,0.956,0.22713333333333333,0.10017644460573204,0.14939639916746414,0.25661375661375685
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.75,0.25,minmax,0.2905,0.5245,0.8015,1.0,0.2905,0.42150948363214596,0.5340361207138733,0.6047432473548157,0.4809416666666667,0.4809416666666667,6.0,6.0,6.0,True,0.7074166666666667,0.9625,0.3427333333333333,0.10017644460573204,0.09977026032743419,0.17446072446072464
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.9,0.09999999999999998,minmax,0.278,0.488,0.7715,1.0,0.278,0.39596204560357434,0.5109813140569067,0.5923746563110898,0.4653833333333333,0.4653833333333333,6.0,6.0,6.0,True,0.692,0.9575,0.391,0.10017644460573204,0.07727706399735419,0.1364672364672365
A_SASRec_only,minimal_sasrec,0.0,1.0,0.0,zscore,0.2035,0.4295,0.7685,1.0,0.2035,0.32952751048036005,0.4674194697620527,0.5498814335775598,0.4095,0.4095,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999999,0.10017644460573204,0.0,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,zscore,0.3615,0.6965,0.907,1.0,0.3615,0.5530256097803625,0.6396731520530569,0.6728004204541029,0.5672999999999999,0.5672999999999999,6.0,6.0,6.0,True,0.7918333333333334,0.9825,0.15746666666666664,0.10017644460573204,0.22353725616234252,0.3853479853479852
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.75,0.25,zscore,0.362,0.691,0.8905,1.0,0.362,0.5502637502732196,0.6324148810367203,0.6714195680250488,0.5657416666666667,0.5657416666666667,6.0,6.0,6.0,True,0.7824166666666668,0.981,0.1672,0.10017644460573204,0.22102607403336927,0.3815425315425317
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.09999999999999998,zscore,0.3615,0.6905,0.89,1.0,0.3615,0.5496982853964338,0.6318494161599346,0.6710322067418171,0.5652416666666666,0.5652416666666666,6.0,6.0,6.0,True,0.7815,0.9805,0.168,0.10017644460573204,0.22032162893015583,0.3803215303215303
C_SASRec_plus_evidence_risk,minimal_sasrec,0.0,1.0,0.0,zscore,0.2035,0.4295,0.7685,1.0,0.2035,0.32952751048036005,0.4674194697620527,0.5498814335775598,0.4095,0.4095,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999999,0.10017644460573204,0.0,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.5,0.5,zscore,0.3615,0.6965,0.907,1.0,0.3615,0.5530256097803625,0.6396731520530569,0.6728004204541029,0.5672999999999999,0.5672999999999999,6.0,6.0,6.0,True,0.7918333333333334,0.9825,0.15746666666666664,0.10017644460573204,0.22353725616234252,0.3853479853479852
