domain,backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
electronics_small,sasrec,shuffled_calibrated_relevance_B,4,0.5287249870276391,0.3786666666666667,0.128,0.452,0.3083301655000041,0.49595392581370107,0.03186993127864145,0.06716768435885387
electronics_small,sasrec,shuffled_calibrated_relevance_D,4,0.5334261248256398,0.38476666666666665,0.138,0.462,0.3164971489500037,0.5063543786054301,0.041044762912427556,0.0843588539220289
electronics_small,sasrec,random_score_same_distribution_B,4,0.5469886725550064,0.40186666666666665,0.144,0.518,0.35351991761429075,0.5163548544637165,0.067513693900804,0.13255049318929052
electronics_small,sasrec,random_score_same_distribution_D,4,0.554351769942201,0.41126666666666667,0.152,0.55,0.3743054961357195,0.5258551949735594,0.08188365745716097,0.1590418036636917
electronics_small,sasrec,shuffled_calibrated_relevance_B,5,0.5466565903805285,0.401,0.132,0.546,0.36544781022143447,0.5096110429212943,0.06686559589339992,0.13010803193987777
electronics_small,sasrec,shuffled_calibrated_relevance_D,5,0.5532349351137069,0.40923333333333334,0.136,0.576,0.3842808267714349,0.521888702648201,0.07970402096181302,0.15331141380929997
electronics_small,sasrec,random_score_same_distribution_B,5,0.5550135465627013,0.4124,0.154,0.524,0.36440037219286286,0.5222424853487633,0.08317519353484161,0.16223579145138542
electronics_small,sasrec,random_score_same_distribution_D,5,0.5633687923047523,0.42319999999999997,0.168,0.544,0.3803529341642911,0.5362970460845427,0.09948145304819364,0.1926726162517611
electronics_small,gru4rec,shuffled_calibrated_relevance_B,1,0.5117855762874025,0.3581333333333333,0.122,0.402,0.27640227289286035,0.4569296694727671,0.09271562676598605,0.18994351533946144
electronics_small,gru4rec,shuffled_calibrated_relevance_D,1,0.5153204043438842,0.3623333333333334,0.12,0.42,0.2864971489500036,0.4590396687808167,0.10026285364031132,0.20389854911950384
electronics_small,gru4rec,random_score_same_distribution_B,1,0.5033039909866128,0.3473333333333334,0.11,0.38,0.25992599190714616,0.43633703981030464,0.0746065568208085,0.15405914276221064
electronics_small,gru4rec,random_score_same_distribution_D,1,0.5100513416899333,0.35606666666666664,0.12,0.398,0.27392599190714617,0.4437968048878412,0.08901285487686841,0.18307675268578996
electronics_small,gru4rec,shuffled_calibrated_relevance_B,2,0.5200992861728785,0.3690666666666667,0.132,0.408,0.2875445869785754,0.45526957811921853,0.11046626517623478,0.2262709048621109
electronics_small,gru4rec,shuffled_calibrated_relevance_D,2,0.5254848111584177,0.3761666666666667,0.142,0.408,0.2925445869785753,0.4620799318531897,0.12196492317423323,0.249861557204563
electronics_small,gru4rec,random_score_same_distribution_B,2,0.5227484035120625,0.37283333333333335,0.138,0.418,0.29606830599286116,0.4458076510967297,0.11612240721654415,0.2387861335696089
electronics_small,gru4rec,random_score_same_distribution_D,2,0.5274332211265145,0.3784666666666667,0.14,0.444,0.31033016550000403,0.4611786843244223,0.12612498183577378,0.2575035995126812
electronics_small,gru4rec,shuffled_calibrated_relevance_B,3,0.500491461223291,0.34363333333333335,0.104,0.386,0.2601878514142891,0.42782519505325456,0.06860151219758857,0.14176542252741153
electronics_small,gru4rec,shuffled_calibrated_relevance_D,3,0.49962375901835804,0.3421333333333334,0.096,0.394,0.2620208679642895,0.4305195647194017,0.06674887741724235,0.1367814818916824
electronics_small,gru4rec,random_score_same_distribution_B,3,0.5141805839889704,0.36173333333333335,0.132,0.402,0.2800929753571457,0.44222673219314995,0.09782921820541815,0.20190497286521195
electronics_small,gru4rec,random_score_same_distribution_D,3,0.5210400634835296,0.3702,0.138,0.418,0.2913548348642887,0.4576351841783015,0.11247492293504208,0.23003654889799505
electronics_small,gru4rec,shuffled_calibrated_relevance_B,4,0.5065959976454522,0.3519,0.116,0.366,0.25802086796428947,0.4360669745980638,0.08163533466489398,0.16923247314209747
electronics_small,gru4rec,shuffled_calibrated_relevance_D,4,0.5149791991347618,0.36236666666666667,0.124,0.394,0.27654458697857537,0.4565612204490461,0.09953434490302594,0.20400930335585318
electronics_small,gru4rec,random_score_same_distribution_B,4,0.5234043794562706,0.373,0.13,0.456,0.311592025007147,0.4557250139057463,0.11752298432975339,0.23933990475135652
