method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,zscore,0.084,0.472,0.89,1.0,0.084,0.2992106200785762,0.4711698511989058,0.5103526417807882,0.3539666666666667,0.3539666666666667,1.0,3.602,3.602,6.0,6.0,6.0,True,0.458,0.834,0.6933333333333332,-0.02740555383736308,-0.12886897789475033,-0.21462909548110337,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,zscore,0.108,0.478,0.878,1.0,0.108,0.3157817771214337,0.4802517727014753,0.5237090495286539,0.37176666666666663,0.37176666666666663,1.0,3.554,3.554,6.0,6.0,6.0,True,0.5406666666666667,0.914,0.6352000000000001,-0.02740555383736308,-0.10607066123971395,-0.17513497522372612,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,zscore,0.304,0.602,0.908,1.0,0.304,0.47525805810714783,0.6013479972685555,0.6341190584824935,0.517,0.517,1.0,2.934,2.934,6.0,6.0,6.0,True,0.6803333333333333,0.974,0.46186666666666665,-0.02740555383736308,0.08239036761868257,0.14710450410472603,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,zscore,0.302,0.596,0.898,1.0,0.302,0.4709961986000049,0.5957140215358298,0.632047154620848,0.5144000000000001,0.5144000000000001,1.0,2.958,2.958,6.0,6.0,6.0,True,0.6753333333333333,0.97,0.4794666666666667,-0.02740555383736308,0.07885379392250039,0.1413357000221879,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,zscore,0.3,0.592,0.902,1.0,0.3,0.46642504155714737,0.5940623919474932,0.6289706962840794,0.5104666666666666,0.5104666666666666,1.0,2.982,2.982,6.0,6.0,6.0,True,0.666,0.972,0.4933333333333333,-0.02740555383736308,0.07360252631659152,0.13260853487168103,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,zscore,0.278,0.556,0.886,1.0,0.278,0.4371631820500045,0.5729758260934296,0.6135834454237441,0.4906333333333333,0.4906333333333333,1.0,3.106,3.106,6.0,6.0,6.0,True,0.6610000000000001,0.95,0.4605333333333333,-0.02740555383736308,0.04733772337057024,0.08860291398565193,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,zscore,0.12,0.54,0.9,1.0,0.12,0.35959012430714943,0.5084983600961317,0.5441190788069339,0.3973333333333333,0.3973333333333333,1.0,3.334,3.334,6.0,6.0,6.0,True,0.5166666666666666,0.88,0.6426666666666665,-0.02740555383736308,-0.07123237843128863,-0.11840840174543305,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,zscore,0.122,0.546,0.904,1.0,0.122,0.3646375623357211,0.5123338550018457,0.546529744964216,0.4004333333333333,0.4004333333333333,1.0,3.316,3.316,6.0,6.0,6.0,True,0.5116666666666666,0.886,0.6501333333333332,-0.02740555383736308,-0.06711756466992529,-0.11153021226240667,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,zscore,0.122,0.534,0.906,1.0,0.122,0.35680454578572074,0.5100920727564844,0.5435755483446385,0.39676666666666666,0.39676666666666666,1.0,3.348,3.348,6.0,6.0,6.0,True,0.541,0.91,0.6295999999999999,-0.02740555383736308,-0.0721601413316874,-0.11966570519931959,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,zscore,0.172,0.514,0.888,1.0,0.172,0.3673529341642911,0.5211512242444908,0.5610464292005892,0.42086666666666667,0.42086666666666667,1.0,3.346,3.346,6.0,6.0,6.0,True,0.6016666666666668,0.944,0.5653333333333334,-0.02740555383736308,-0.042338749119397064,-0.06619332889579171,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,zscore,0.09,0.524,0.91,1.0,0.09,0.3337096697285774,0.4929390210106908,0.5249976678504129,0.37216666666666665,0.37216666666666665,1.0,3.432,3.432,6.0,6.0,6.0,True,0.4546666666666666,0.802,0.6901333333333334,-0.02740555383736308,-0.10387109312967052,-0.1742474669033356,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,zscore,0.088,0.508,0.894,1.0,0.088,0.3241859507142915,0.483415301996405,0.5211732638298554,0.3675,0.3675,1.0,3.488,3.488,6.0,6.0,6.0,True,0.4646666666666666,0.816,0.6808,-0.02740555383736308,-0.11039904402210989,-0.18460173064122476,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,zscore,0.1,0.5,0.896,1.0,0.1,0.3240910746571482,0.48675071650321855,0.5237962639624529,0.37133333333333335,0.37133333333333335,1.0,3.504,3.504,6.0,6.0,6.0,True,0.4833333333333334,0.858,0.6730666666666666,-0.02740555383736308,-0.10592179319703557,-0.17609644257081572,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,zscore,0.124,0.494,0.878,1.0,0.124,0.333876653178577,0.49163111883279975,0.5350883956599785,0.38663333333333333,0.38663333333333333,1.0,3.486,3.486,6.0,6.0,6.0,True,0.5623333333333334,0.932,0.6095999999999999,-0.02740555383736308,-0.0866470301761404,-0.142149249315879,0.0
