method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,zscore,1.0,0.553383196101202,0.41176772867420347,1.0,0.36930455635491605,0.7697841726618705,0.8060979787598492,-0.005412980508617966,0.038478060777402484,0.0703980764092974
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,zscore,1.0,0.5422250096317554,0.3972593353888318,1.0,0.22319287427201098,0.5354573484069887,0.8962658444672833,-0.005412980508617966,0.017538625087590704,0.03268323091993955
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,zscore,1.0,0.5385657749503019,0.3925488180883865,1.0,0.2656731757451182,0.6258992805755396,0.8746145940390544,-0.005412980508617966,0.010671710872092443,0.0204381512156027
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,zscore,1.0,0.6020090904615251,0.4755566974991436,1.0,0.6394313120931827,0.9578622816032888,0.5303871188763275,-0.005412980508617966,0.12972933988136773,0.236218719387301
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,zscore,1.0,0.556011613917201,0.415347721822542,1.0,0.4158958547447756,0.816032887975334,0.7656731757451181,-0.005412980508617966,0.043410545637264805,0.07970433698459362
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,zscore,1.0,0.544048490734956,0.39970880438506334,1.0,0.3071257279890373,0.6906474820143885,0.8469338814662555,-0.005412980508617966,0.0209605669413685,0.039050672366194694
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,zscore,1.0,0.5436982595407538,0.39965741692360396,1.0,0.48886605001712913,0.894141829393628,0.72154847550531,-0.005412980508617966,0.020303323617138016,0.03891708967851107
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,zscore,1.0,0.5986389872111472,0.47136005481329224,1.0,0.6644398766700925,0.9496402877697842,0.4421377183967112,-0.005412980508617966,0.12340500926791696,0.2253094665598007
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,zscore,1.0,0.5694414976105299,0.4330592668722165,1.0,0.5966084275436794,0.94655704008222,0.6019184652278177,-0.005412980508617966,0.06861304486849133,0.12574583667290065
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,zscore,1.0,0.5528002225701641,0.41151079136690644,1.0,0.5322028091812264,0.9270298047276464,0.6856457690990064,-0.005412980508617966,0.03738405353926791,0.06973016297087899
