method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,zscore,0.056,0.374,0.87,1.0,0.056,0.23306830599286116,0.4390585461513039,0.4853654804753468,0.3219666666666667,0.3219666666666667,1.0,3.81,3.81,6.0,6.0,6.0,True,0.441,0.828,0.7272,0.1055009648461805,-0.10024945565010669,-0.17465607109288214,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,zscore,0.082,0.386,0.86,1.0,0.082,0.25180644648571826,0.44735767984809166,0.49722668604321474,0.33803333333333335,0.33803333333333335,1.0,3.79,3.79,6.0,6.0,6.0,True,0.5433333333333333,0.932,0.6546666666666665,0.1055009648461805,-0.0782616411152054,-0.1334700504144236,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,zscore,0.412,0.674,0.906,1.0,0.412,0.5636869010642903,0.6597473724634986,0.6932308480516526,0.5949333333333334,0.5949333333333334,1.0,2.62,2.62,6.0,6.0,6.0,True,0.6823333333333332,0.97,0.4829333333333333,0.1055009648461805,0.2850828045780112,0.5250790395625056,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,zscore,0.4,0.656,0.902,1.0,0.4,0.5486869010642904,0.6506891967748484,0.6855975011114346,0.585,0.585,1.0,2.672,2.672,6.0,6.0,6.0,True,0.6706666666666667,0.974,0.49173333333333324,0.1055009648461805,0.27093242029862985,0.4996154832094334,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,zscore,0.394,0.634,0.898,1.0,0.394,0.5312827274714325,0.640598963718923,0.6769320968039413,0.574,0.574,1.0,2.75,2.75,6.0,6.0,6.0,True,0.6513333333333333,0.974,0.5093333333333333,0.1055009648461805,0.25486885056342073,0.4714175852345551,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,zscore,0.342,0.578,0.896,1.0,0.342,0.4775445869785754,0.6095038248502852,0.6465493723095196,0.5341333333333335,0.5341333333333335,1.0,2.926,2.926,6.0,6.0,6.0,True,0.6596666666666666,0.958,0.46879999999999994,0.1055009648461805,0.19854660680616762,0.3692215671195423,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,zscore,0.118,0.546,0.904,1.0,0.118,0.36080454578572074,0.5102537884853994,0.5444496784477696,0.39743333333333336,0.39743333333333336,1.0,3.298,3.298,6.0,6.0,6.0,True,0.5013333333333334,0.89,0.6749333333333333,0.1055009648461805,0.009278397950237069,0.01879859864991889,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,zscore,0.126,0.526,0.9,1.0,0.126,0.3519240912071486,0.5080012163309685,0.5436219350417707,0.3968,0.3968,1.0,3.338,3.338,6.0,6.0,6.0,True,0.4893333333333333,0.88,0.6815999999999999,0.1055009648461805,0.007743961303856388,0.017175083311971248,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,zscore,0.136,0.508,0.902,1.0,0.136,0.3458292151500053,0.5100816339269045,0.5449899382634907,0.3989666666666667,0.3989666666666667,1.0,3.358,3.358,6.0,6.0,6.0,True,0.49999999999999994,0.898,0.6751999999999998,0.1055009648461805,0.010279909353168746,0.022729214731265546,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,zscore,0.194,0.492,0.874,1.0,0.194,0.3600208679642895,0.5177904555191425,0.5626725610947533,0.4238,0.4238,1.0,3.396,3.396,6.0,6.0,6.0,True,0.5926666666666668,0.942,0.5845333333333333,0.1055009648461805,0.04305922753290575,0.08638810561394517,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,zscore,0.074,0.484,0.906,1.0,0.074,0.3038766531785769,0.4803633105848866,0.5138467861730408,0.3575,0.3575,1.0,3.486,3.486,6.0,6.0,6.0,True,0.418,0.778,0.7298666666666666,0.1055009648461805,-0.0474519837734524,-0.08356831581645736,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,zscore,0.068,0.468,0.896,1.0,0.068,0.29261479367143406,0.47142256792115095,0.5084681153803853,0.35070000000000007,0.35070000000000007,1.0,3.542,3.542,6.0,6.0,6.0,True,0.42166666666666663,0.792,0.7346666666666666,0.1055009648461805,-0.057422742239487345,-0.10099974365547279,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,zscore,0.076,0.428,0.882,1.0,0.076,0.2739961986000049,0.46251155583110903,0.5045440039098557,0.3465,0.3465,1.0,3.648,3.648,6.0,6.0,6.0,True,0.4516666666666666,0.832,0.7133333333333333,0.1055009648461805,-0.06469709852094528,-0.11176621379133563,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,zscore,0.102,0.414,0.862,1.0,0.102,0.2763301655000041,0.4615602833692463,0.5107168751901534,0.3555333333333333,0.3555333333333333,1.0,3.694,3.694,6.0,6.0,6.0,True,0.5593333333333332,0.934,0.6272,0.1055009648461805,-0.05325408388955797,-0.08860975818166288,0.0
