backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
gru4rec,shuffled_calibrated_relevance_D,2,0.5325149791677056,0.38423333333333337,0.136,0.466,0.3214250415571474,0.4698225142366937,0.05349571538875197,0.10179697954502016
gru4rec,random_score_same_distribution_B,2,0.5226420755381025,0.3713,0.12,0.466,0.31263946303571866,0.465648925600819,0.03396375463810923,0.06471038042439307
gru4rec,random_score_same_distribution_D,2,0.5226420755381025,0.3713,0.12,0.466,0.31263946303571866,0.465648925600819,0.03396375463810923,0.06471038042439307
gru4rec,shuffled_calibrated_relevance_B,3,0.5250637941578489,0.3742,0.12,0.47,0.31542504155714746,0.4645085723494851,0.038754737595560466,0.0730261900210284
gru4rec,shuffled_calibrated_relevance_D,3,0.5250637941578489,0.3742,0.12,0.47,0.31542504155714746,0.4645085723494851,0.038754737595560466,0.0730261900210284
gru4rec,random_score_same_distribution_B,3,0.5329984662806924,0.38416666666666666,0.128,0.5,0.33494876057143325,0.4838418744597852,0.05445221731245991,0.10160581150831575
gru4rec,random_score_same_distribution_D,3,0.5329984662806924,0.38416666666666666,0.128,0.5,0.33494876057143325,0.4838418744597852,0.05445221731245991,0.10160581150831575
gru4rec,shuffled_calibrated_relevance_B,4,0.5190389555923817,0.3669666666666667,0.12,0.44,0.298592025007147,0.4563464906613698,0.02683555811154129,0.052284458038616075
gru4rec,shuffled_calibrated_relevance_D,4,0.5190389555923817,0.3669666666666667,0.12,0.44,0.298592025007147,0.4563464906613698,0.02683555811154129,0.052284458038616075
gru4rec,random_score_same_distribution_B,4,0.5350280820847576,0.38680000000000003,0.124,0.498,0.3371859507142915,0.4815970040185542,0.0584674875623408,0.10915694895813427
gru4rec,random_score_same_distribution_D,4,0.5350280820847576,0.38680000000000003,0.124,0.498,0.3371859507142915,0.4815970040185542,0.0584674875623408,0.10915694895813427
gru4rec,shuffled_calibrated_relevance_B,5,0.5232659451038094,0.3720333333333333,0.118,0.466,0.3132106200785762,0.4648479664180937,0.03519798079163627,0.06681322882813989
gru4rec,shuffled_calibrated_relevance_D,5,0.5232659451038094,0.3720333333333333,0.118,0.466,0.3132106200785762,0.4648479664180937,0.03519798079163627,0.06681322882813989
gru4rec,random_score_same_distribution_B,5,0.5208265258023782,0.3691333333333333,0.122,0.456,0.30680644648571825,0.4645457902393108,0.030371979866533547,0.058497419231504415
gru4rec,random_score_same_distribution_D,5,0.5208265258023782,0.3691333333333333,0.122,0.456,0.30680644648571825,0.4645457902393108,0.030371979866533547,0.058497419231504415
bert4rec,shuffled_calibrated_relevance_B,1,0.5053186816850402,0.34903333333333336,0.092,0.424,0.2799961986000049,0.4355020730118679,0.03928486497287132,0.07903957131079971
