method,backbone_name,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
C_Backbone_plus_evidence_risk,tfidf_cosine,0.0,1.0,0.0,minmax,0.7074684893399596,0.6130083333333333,0.423,0.737,0.6046147936714341,0.6768346712486698,1.0,2.4925,2.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999999,0.1935588335252477,0.0,0.0
C_Backbone_plus_evidence_risk,tfidf_cosine,0.05,1.0,0.0,minmax,0.7157899169334615,0.6238416666666667,0.4365,0.744,0.6149957234250055,0.6865809275906037,1.0,2.4345,2.0,6.0,6.0,6.0,True,0.36425,0.677,0.7686,0.1935588335252477,0.011762258982397106,0.017672407933551976
C_Backbone_plus_evidence_risk,tfidf_cosine,0.1,1.0,0.0,minmax,0.7142645283553052,0.6218666666666667,0.4345,0.742,0.6127338639178627,0.6848774354188932,1.0,2.4455,2.0,6.0,6.0,6.0,True,0.378,0.6995,0.7607333333333334,0.1935588335252477,0.00960613669406813,0.014450592025665905
C_Backbone_plus_evidence_risk,tfidf_cosine,0.2,1.0,0.0,minmax,0.7122122859311509,0.6191583333333333,0.4305,0.741,0.6103647936714339,0.6817565714334151,1.0,2.457,2.0,6.0,6.0,6.0,True,0.40308333333333324,0.743,0.7444666666666666,0.1935588335252477,0.0067053114911408435,0.01003249004227782
C_Backbone_plus_evidence_risk,tfidf_cosine,0.5,1.0,0.0,minmax,0.7020591880406425,0.6057250000000001,0.411,0.7295,0.5954539775625055,0.6721377843235687,1.0,2.507,2.0,6.0,6.0,6.0,True,0.457,0.8145,0.7076666666666666,0.1935588335252477,-0.007645996084382253,-0.011881295795326107
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.0,0.5,0.5,minmax,0.7358890776856347,0.6502583333333332,0.4755,0.7695,0.6446271283535764,0.7130918177107212,1.0,2.3125,2.0,6.0,6.0,6.0,True,0.5688333333333333,0.8565,0.5652666666666666,0.1935588335252477,0.040172232083707876,0.06076589497152007
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.05,0.5,0.5,minmax,0.7377605785239799,0.6526833333333334,0.478,0.768,0.6455853824910764,0.7160319401103904,1.0,2.2985,2.0,6.0,6.0,6.0,True,0.5935,0.901,0.5336,0.1935588335252477,0.04281758076926026,0.06472179551664627
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.1,0.5,0.5,minmax,0.7351081761415599,0.6492416666666666,0.4735,0.763,0.6410972419982195,0.7124890197602003,1.0,2.3185,2.0,6.0,6.0,6.0,True,0.58275,0.8945,0.5456666666666666,0.1935588335252477,0.03906843515728449,0.05910740745775617
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.2,0.5,0.5,minmax,0.7287521437337364,0.6408416666666665,0.4605,0.7605,0.6340673556428623,0.7022147082941886,1.0,2.354,2.0,6.0,6.0,6.0,True,0.5758333333333333,0.887,0.5653333333333332,0.1935588335252477,0.03008424362989451,0.045404494229278995
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.5,0.5,0.5,minmax,0.6862795208068394,0.5845333333333333,0.3755,0.728,0.5787215292357204,0.6563581170897655,1.0,2.559,2.0,6.0,6.0,6.0,True,0.5849166666666666,0.8835,0.5674666666666666,0.1935588335252477,-0.02995040606386402,-0.04645124454534319
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.0,0.75,0.25,minmax,0.7295550237558734,0.6417666666666666,0.46,0.765,0.6364601449035767,0.706045349406744,1.0,2.337,2.0,6.0,6.0,6.0,True,0.4576666666666666,0.784,0.6791999999999998,0.1935588335252477,0.031219106926613317,0.046913445983605445
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.05,0.75,0.25,minmax,0.7308867348040715,0.6435666666666666,0.4635,0.764,0.6373173556428624,0.7073770604549419,1.0,2.333,2.0,6.0,6.0,6.0,True,0.4838333333333333,0.8305,0.6545333333333333,0.1935588335252477,0.03310146786319793,0.04984978453256485
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.1,0.75,0.25,minmax,0.7286615744280834,0.6407083333333332,0.46,0.7605,0.6339482853964339,0.7019460353949817,1.0,2.3535,2.0,6.0,6.0,6.0,True,0.47658333333333336,0.8215,0.6683999999999999,0.1935588335252477,0.029956224775319822,0.045186987670096844
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.2,0.75,0.25,minmax,0.7255564707359627,0.6365999999999999,0.4535,0.761,0.6313410746571482,0.6975942065479831,1.0,2.3705,2.0,6.0,6.0,6.0,True,0.46391666666666664,0.821,0.6836666666666665,0.1935588335252477,0.025567190155533954,0.03848506681529617
