method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,minmax,1.0,0.5350346810154285,0.38783333333333336,1.0,0.405,0.85,0.7813333333333332,0.019216554446559255,0.02868982269972698,0.05294117647058828
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,minmax,1.0,0.5231375578961829,0.37183333333333335,1.0,0.21666666666666665,0.53,0.8986666666666665,0.019216554446559255,0.00581569900937748,0.009502262443438922
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,minmax,1.0,0.5305557307955124,0.3816666666666667,1.0,0.15333333333333332,0.42,0.9333333333333331,0.019216554446559255,0.020078323910784925,0.036199095022624514
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,minmax,1.0,0.5615570672495263,0.4206666666666667,1.0,0.6616666666666666,0.96,0.5186666666666667,0.019216554446559255,0.07968335594311862,0.14208144796380093
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,minmax,1.0,0.5375986660825519,0.39100000000000007,1.0,0.4083333333333334,0.85,0.7759999999999997,0.019216554446559255,0.03361949443446051,0.061538461538461695
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,minmax,1.0,0.5231321429067318,0.3720000000000001,1.0,0.26,0.63,0.8826666666666664,0.019216554446559255,0.0058052878253253394,0.009954751131221979
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,minmax,1.0,0.5249498304476272,0.37500000000000006,1.0,0.26333333333333336,0.67,0.8666666666666665,0.019216554446559255,0.009300083098443847,0.018099547511312333
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,minmax,1.0,0.5669772299935605,0.42883333333333334,1.0,0.655,0.96,0.504,0.019216554446559255,0.09010448647914729,0.16425339366515837
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,minmax,1.0,0.5343173384003069,0.3863333333333334,1.0,0.43999999999999995,0.85,0.7439999999999998,0.019216554446559255,0.027310616689821446,0.04886877828054318
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,minmax,1.0,0.5332099746685078,0.38566666666666677,1.0,0.32666666666666666,0.73,0.8319999999999997,0.019216554446559255,0.025181532648453166,0.04705882352941201
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,minmax,1.0,0.5332645426559055,0.3873333333333335,1.0,0.495,0.91,0.6959999999999996,0.019216554446559255,0.02528644833947838,0.05158371040724016
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,minmax,1.0,0.5597586913570858,0.4203333333333334,1.0,0.6833333333333331,0.96,0.4159999999999999,0.019216554446559255,0.07622569040556684,0.1411764705882354
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,minmax,1.0,0.5281686781466834,0.37983333333333336,1.0,0.6133333333333334,0.96,0.5586666666666666,0.019216554446559255,0.015488833073595627,0.031221719457013603
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,minmax,1.0,0.5260070137900473,0.3778333333333334,1.0,0.5333333333333333,0.94,0.6573333333333333,0.019216554446559255,0.011332687308345312,0.02579185520362008
A_Backbone_only,llmesr_gru4rec,0.0,1.0,0.0,zscore,1.0,0.5201127387566313,0.36833333333333335,1.0,0.0,0.0,0.9999999999999999,0.019216554446559255,0.0,0.0
