method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.5,0.5,minmax,1.0,0.5871481916417992,0.4566632408359027,1.0,0.6861939020212401,0.959917780061665,0.40911270983213427,0.02283324525594344,0.16968491908179045,0.32104454685099826,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.75,0.25,minmax,1.0,0.5496026487767411,0.407673860911271,1.0,0.6204179513532032,0.9516957862281603,0.5747858855772525,0.02283324525594344,0.0948887161927089,0.17932708983697526,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.9,0.09999999999999998,minmax,1.0,0.5297055577778363,0.3819287427201096,1.0,0.5596094552929085,0.9424460431654677,0.6604316546762589,0.02283324525594344,0.05525080602570406,0.10485109756701833,0.0
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,zscore,1.0,0.5019712420527008,0.3456834532374101,1.0,0.0,0.0,0.9999999999999998,0.02283324525594344,0.0,0.0,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,zscore,1.0,0.5703600557532149,0.43432682425488184,1.0,0.646796848235697,0.9527235354573484,0.5398424117848578,0.02283324525594344,0.136240501389787,0.2564293147019473,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,zscore,1.0,0.5242191965660505,0.3742548818088387,1.0,0.36039739636861934,0.774922918807811,0.8178828365878724,0.02283324525594344,0.04432117350462469,0.08265199940538132,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5078285332875541,0.35303186022610483,1.0,0.1539910928400137,0.40082219938335045,0.9316204179513532,0.02283324525594344,0.0116685792813571,0.021257618552103324,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.0,1.0,0.0,zscore,1.0,0.5019712420527008,0.3456834532374101,1.0,0.0,0.0,0.9999999999999998,0.02283324525594344,0.0,0.0,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.5,0.5,zscore,1.0,0.5703600557532149,0.43432682425488184,1.0,0.646796848235697,0.9527235354573484,0.5398424117848578,0.02283324525594344,0.136240501389787,0.2564293147019473,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.75,0.25,zscore,1.0,0.5242191965660505,0.3742548818088387,1.0,0.36039739636861934,0.774922918807811,0.8178828365878724,0.02283324525594344,0.04432117350462469,0.08265199940538132,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5078285332875541,0.35303186022610483,1.0,0.1539910928400137,0.40082219938335045,0.9316204179513532,0.02283324525594344,0.0116685792813571,0.021257618552103324,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,zscore,1.0,0.5038812799185918,0.3482356971565605,1.0,0.08359027064063035,0.2343268242548818,0.9640972935936964,0.02283324525594344,0.0038050742868859706,0.007383182201080173,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,zscore,1.0,0.5757566758783806,0.441469681397739,1.0,0.6485097636176773,0.9537512846865365,0.5336759164097292,0.02283324525594344,0.14699135656447276,0.2770923145532927,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.75,0.25,zscore,1.0,0.5269496129262508,0.3780232956491949,1.0,0.36724905789653994,0.7841726618705036,0.8119904076738609,0.02283324525594344,0.04976056152421478,0.09355334225261361,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.9,0.09999999999999998,zscore,1.0,0.5093372242542461,0.3550702295306612,1.0,0.17523124357656733,0.4511819116135663,0.9210688591983556,0.02283324525594344,0.014674111949966918,0.02715425400128823,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,zscore,1.0,0.5037855329473939,0.3479273723878041,1.0,0.1459403905447071,0.39568345323741005,0.9349092154847551,0.02283324525594344,0.003614332341577877,0.006491254149942979,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,zscore,1.0,0.5778080622227347,0.4443645083932854,1.0,0.6550188420692018,0.9568345323741008,0.527235354573484,0.02283324525594344,0.15107801765678036,0.28546652792230304,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.75,0.25,zscore,1.0,0.5296469918198385,0.3815690304898938,1.0,0.38472079479273724,0.8036998972250771,0.801027749229188,0.02283324525594344,0.05513413408697246,0.10381051484069165,0.0
