method_group,setting,lambda,normalization,base_score_col,uncertainty_col,HR@10,NDCG@10,MRR@10,head_exposure_ratio@10,tail_exposure_ratio@10,long_tail_coverage@10,relative_NDCG_improvement_vs_monotonic,relative_MRR_improvement_vs_monotonic,rank_change_rate,top10_change_rate,top10_order_change_rate,mean_kendall_tau,base_uncertainty_spearman
decoupled_B,B,0.1,zscore,raw_confidence,evidence_risk,1.0,0.5952117925676461,0.4658787255909558,0.2144570058239123,0.3705035971223021,1.0,0.19201295481400746,0.3589487358848802,0.3247687564234326,0.0,0.6515930113052415,0.8050017129153819,-0.2929935955187009
decoupled_B,B,0.2,zscore,raw_confidence,evidence_risk,1.0,0.5940494066566592,0.4644570058239122,0.2144570058239123,0.3705035971223021,1.0,0.18968507912052943,0.35480163885280247,0.3532031517643028,0.0,0.6896197327852004,0.7884206920178144,-0.2929935955187009
decoupled_B,B,0.5,zscore,raw_confidence,evidence_risk,1.0,0.5942416866610296,0.4648681055155876,0.2144570058239123,0.3705035971223021,1.0,0.19007015256669305,0.35600079944039165,0.4952038369304556,0.0,0.8406988694758479,0.6597464885234667,-0.2929935955187009
decoupled_B,B,1.0,zscore,raw_confidence,evidence_risk,1.0,0.5917115674065273,0.4618533744433025,0.2144570058239123,0.3705035971223021,1.0,0.185003157983839,0.3472069551314077,0.5772524837273039,0.0,0.8982528263103803,0.5571085988352175,-0.2929935955187009
decoupled_C,C,0.0,minmax,minimal_repaired_confidence,evidence_risk,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1397841880234759
decoupled_C,C,0.1,minmax,minimal_repaired_confidence,evidence_risk,1.0,0.5130487951579668,0.3605858170606372,0.2144570058239123,0.3705035971223021,1.0,0.02746756350683392,0.051813730388727636,0.2805755395683453,0.0,0.5714285714285714,0.8404933196300103,0.1397841880234759
decoupled_C,C,0.2,minmax,minimal_repaired_confidence,evidence_risk,1.0,0.5156415739864461,0.363960260363138,0.2144570058239123,0.3705035971223021,1.0,0.03266004455493675,0.061656840211851305,0.3245974648852346,0.0,0.6351490236382322,0.806372045220966,0.1397841880234759
decoupled_C,C,0.5,minmax,minimal_repaired_confidence,evidence_risk,1.0,0.5201666730740849,0.3698698184309695,0.2144570058239123,0.3705035971223021,1.0,0.0417223259170278,0.07889477365843883,0.4032202809181226,0.0,0.7225077081192189,0.7492291880781089,0.1397841880234759
decoupled_C,C,1.0,minmax,minimal_repaired_confidence,evidence_risk,1.0,0.535300832710451,0.389140116478246,0.2144570058239123,0.3705035971223021,1.0,0.07203105731656803,0.1351054262016586,0.5942103460089072,0.0,0.8931140801644398,0.5928742720109627,0.1397841880234759
decoupled_C,C,0.0,zscore,minimal_repaired_confidence,evidence_risk,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1397841880234759
decoupled_C,C,0.1,zscore,minimal_repaired_confidence,evidence_risk,1.0,0.5141096377780852,0.3620589242891401,0.2144570058239123,0.3705035971223021,1.0,0.02959208147168298,0.056110722494253765,0.2941075710859883,0.0,0.593011305241521,0.8310380267214799,0.1397841880234759
decoupled_C,C,0.2,zscore,minimal_repaired_confidence,evidence_risk,1.0,0.5158029007527404,0.3641486810551558,0.2144570058239123,0.3705035971223021,1.0,0.032983128871783896,0.06220645548116274,0.3338472079479274,0.0,0.6464542651593012,0.8014388489208633,0.1397841880234759
decoupled_C,C,0.5,zscore,minimal_repaired_confidence,evidence_risk,1.0,0.5188701217526551,0.3681740322028092,0.2144570058239123,0.3705035971223021,1.0,0.039125761146261935,0.07394823623463558,0.4061322370674888,0.0,0.7286742034943474,0.746899623158616,0.1397841880234759
decoupled_C,C,1.0,zscore,minimal_repaired_confidence,evidence_risk,1.0,0.539204980238129,0.3942788626241864,0.2144570058239123,0.3705035971223021,1.0,0.07984977745721163,0.15009493354651723,0.5996916752312436,0.0,0.8869475847893115,0.5630010277492291,0.1397841880234759
monotonic_noop,monotonic,0.0,none,minimal_repaired_confidence,minimal_evidence_uncertainty,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
monotonic_noop,monotonic,0.1,none,minimal_repaired_confidence,minimal_evidence_uncertainty,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
monotonic_noop,monotonic,0.2,none,minimal_repaired_confidence,minimal_evidence_uncertainty,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
monotonic_noop,monotonic,0.5,none,minimal_repaired_confidence,minimal_evidence_uncertainty,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
monotonic_noop,monotonic,1.0,none,minimal_repaired_confidence,minimal_evidence_uncertainty,1.0,0.4993333253332959,0.3428228845495033,0.2144570058239123,0.3705035971223021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
