num_samples,accuracy,avg_confidence,avg_correctness,brier_score,ece,mce,auroc,split,variant,score_col,status,feature_set,uses_fallback,fallback_reason,total_rows,usable_rows,parse_success_rate,high_conf_threshold,high_conf_error_rate,condition,mean_relevance_probability,mean_calibrated_relevance_probability,mean_evidence_risk
3000,0.5543333333333333,0.47479666666666664,0.5543333333333333,0.2575987,0.30876333333333333,0.5500366300366301,0.5855064,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5514018691588785,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17561938181499417,0.8336666666666667,0.1358474203851318,0.009752715148327496,0.4,0.5858332,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17363984023372608,0.8336666666666667,0.13594785168914142,0.013566392527304174,0.3333333333333333,0.5846376,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17412448283936005,0.8336666666666667,0.13608342156471356,0.01983318385519942,0.10146103896103895,0.5852044,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.547,0.47829000000000005,0.547,0.26102396666666666,0.31219,0.9500000000000001,0.5813984,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5779816513761468,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.8326666666666667,0.17688810692832374,0.8326666666666667,0.1365531929099085,0.010821440261657036,0.6,0.5813992,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.833,0.1746232278720845,0.833,0.13644060607740713,0.00862322787208445,0.5,0.5835904,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.833,0.1747517058438061,0.833,0.13639116111613903,0.0119409267390832,0.09346567411083556,0.5871476,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.554,0.4797333333333333,0.554,0.2590109333333333,0.3136466666666667,0.5127972027972026,0.5950184,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.6097560975609756,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8333333333333334,0.17798023127924603,0.8333333333333334,0.13626707510869543,0.011746897945912688,0.09308113489298164,0.5936024,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8316666666666667,0.17472693594022762,0.8316666666666667,0.13624507207225686,0.011085317443117783,0.2,0.5964268,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8316666666666667,0.17538179582718422,0.8316666666666667,0.13636628787839372,0.01688741435992775,0.14474772539288683,0.5894884,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
