domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,bert4rec,cold_positive_subset,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.4868584411224107,0.3250340136054422,0.06938775510204082,0.3795918367346939,0.24239243569242383,0.4243404450177375,1.0,6.0,True,0.07555151813886861,0.16055380131163474,490
books_small,bert4rec,cold_positive_subset,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6743594361915032,0.5705442176870749,0.38571428571428573,0.6510204081632653,0.5370715974489838,0.6343769968222355,1.0,6.0,True,0.48977249669309647,1.0371629827544329,490
electronics_small,sasrec,cold_positive_subset,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5109891943398209,0.3524964838255978,0.052742616033755275,0.5358649789029536,0.3205449928044061,0.49896532304503544,1.0,6.0,True,0.0,0.0,474
electronics_small,sasrec,cold_positive_subset,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6531141129957995,0.540928270042194,0.3206751054852321,0.6624472573839663,0.5172499305530497,0.6328238301858488,1.0,6.0,True,0.27813683778499204,0.5345635910224436,474
electronics_small,sasrec,cold_positive_subset,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5490246415880004,0.4024613220815752,0.10759493670886076,0.5949367088607594,0.385241265167277,0.5324918185576702,1.0,6.0,True,0.07443493457297039,0.1417456359102242,474
electronics_small,sasrec,cold_positive_subset,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.6568348177625702,0.5458860759493671,0.33122362869198313,0.6772151898734177,0.5271459273131456,0.6365445349526195,1.0,6.0,True,0.28541821439331305,0.5486284289276807,474
electronics_small,gru4rec,cold_positive_subset,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.46428794093050263,0.2956611570247934,0.03925619834710744,0.34297520661157027,0.2046415034681258,0.39952299781995315,1.0,6.0,True,0.0,0.0,484
electronics_small,gru4rec,cold_positive_subset,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.612882422062212,0.4893939393939393,0.26859504132231404,0.5929752066115702,0.4532379536083285,0.5709324020928788,1.0,6.0,True,0.32004811676543604,0.655252737013743,484
electronics_small,gru4rec,cold_positive_subset,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5033298881145385,0.34590220385674936,0.08471074380165289,0.45867768595041325,0.29171240033943774,0.44371670184232825,1.0,6.0,True,0.08408994449821365,0.1699277894246449,484
electronics_small,gru4rec,cold_positive_subset,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6151276556759029,0.4925619834710744,0.2768595041322314,0.5950413223140496,0.4567801467458724,0.5694978093934702,1.0,6.0,True,0.3248839813566875,0.6659678546470998,484
electronics_small,bert4rec,cold_positive_subset,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.45905112741383675,0.28842975206611576,0.024793388429752067,0.3739669421487603,0.21290596627804315,0.3935502190406674,1.0,6.0,True,0.0,0.0,484
electronics_small,bert4rec,cold_positive_subset,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6055162336296153,0.47937327823691456,0.24793388429752067,0.5847107438016529,0.4417508199085063,0.5606223526098025,1.0,6.0,True,0.31906055223286606,0.6620105062082134,484
electronics_small,bert4rec,cold_positive_subset,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49421725305082237,0.3335399449035813,0.05991735537190083,0.44214876033057854,0.2748384675915047,0.43681196256647165,1.0,6.0,True,0.07660611974770992,0.15639923591212976,484
electronics_small,bert4rec,cold_positive_subset,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.2,0.5,0.5,zscore,0.6075388643680956,0.48285123966942145,0.26859504132231404,0.5640495867768595,0.43606998349321574,0.5582291917725637,1.0,6.0,True,0.32346666435783833,0.6740687679083089,484
