domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,gru4rec,fallback_rate_per_user_0_to_0.5,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.4815501994318912,0.3148427672955975,0.03018867924528302,0.45660377358490567,0.2577243881266878,0.46676424072174694,1.0,6.0,True,0.0,0.0,265
books_small,gru4rec,fallback_rate_per_user_0_to_0.5,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.7337248085327016,0.6469811320754717,0.4641509433962264,0.7773584905660378,0.6449643695283074,0.7162504936934401,1.0,6.0,True,0.5236725255192779,1.0549340791050736,265
books_small,gru4rec,fallback_rate_per_user_0_to_0.5,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5266086592795106,0.37459119496855353,0.1018867924528302,0.5207547169811321,0.3340481836388191,0.49838091992378053,1.0,6.0,True,0.0935696006372277,0.18977227327207363,265
books_small,gru4rec,fallback_rate_per_user_0_to_0.5,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.7383443249013947,0.6533333333333333,0.47924528301886793,0.769811320754717,0.6462675817250723,0.7235583661912504,1.0,6.0,True,0.53326553653691,1.0751098681582099,265
books_small,gru4rec,fallback_rate_per_user_gt_0.5,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.4235696714048115,0.24537037037037035,0.008547008547008548,0.18803418803418803,0.10836211779609502,0.3078784482415223,1.0,6.0,True,0.0,0.0,234
books_small,gru4rec,fallback_rate_per_user_gt_0.5,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6323414095229511,0.5163105413105413,0.3247863247863248,0.5811965811965812,0.4697773188339476,0.5668845332595112,1.0,6.0,True,0.4928864180141301,1.1042089985486214,234
books_small,gru4rec,fallback_rate_per_user_gt_0.5,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.44936562994278473,0.2781339031339032,0.042735042735042736,0.24358974358974358,0.1526743838064734,0.3595527066975997,1.0,6.0,True,0.060901335198099364,0.13352685050798288,234
books_small,gru4rec,fallback_rate_per_user_gt_0.5,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6263956935793238,0.5086182336182337,0.3162393162393162,0.5641025641025641,0.45695680601343475,0.5639833231886019,1.0,6.0,True,0.47884925637338327,1.0728592162554431,234
books_small,bert4rec,all_users,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.45409087014335364,0.28203333333333336,0.02,0.346,0.19530739683571705,0.3878363333412616,1.0,6.0,True,0.0,0.0,500
books_small,bert4rec,all_users,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6718056002601531,0.5666666666666668,0.37,0.66,0.5375199176142907,0.6304855665556226,1.0,6.0,True,0.4794518992378515,1.0092187684670844,500
books_small,bert4rec,all_users,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.4878414917731608,0.32639999999999997,0.072,0.38,0.24380644648571825,0.42443661246793296,1.0,6.0,True,0.07432569965379897,0.15731001063704034,500
books_small,bert4rec,all_users,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6748939593776038,0.5711333333333332,0.384,0.656,0.5396394630357186,0.6349987544215053,1.0,6.0,True,0.4862530910708334,1.025056139936177,500
books_small,bert4rec,positive_fallback_false,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.5242358113740023,0.3783333333333333,0.2,0.4,0.3,0.38175293653079345,1.0,6.0,True,0.0,0.0,10
books_small,bert4rec,positive_fallback_false,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6879926201393853,0.5833333333333333,0.3,0.9,0.6523719014285831,0.6523719014285831,1.0,6.0,True,0.31237241945792027,0.5418502202643172,10
books_small,bert4rec,positive_fallback_false,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5360109736599148,0.39333333333333337,0.2,0.4,0.31309297535714575,0.4291488175275083,1.0,6.0,True,0.022461575555188053,0.039647577092511196,10
books_small,bert4rec,positive_fallback_false,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.7010855954965309,0.6,0.3,0.9,0.6654648767857287,0.6654648767857287,1.0,6.0,True,0.3373477741991948,0.5859030837004406,10
books_small,bert4rec,positive_fallback_true,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4526593407304833,0.28006802721088436,0.0163265306122449,0.3448979591836735,0.19317081309767045,0.3879604842965772,1.0,6.0,True,0.0,0.0,490
books_small,bert4rec,positive_fallback_true,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6714752529156791,0.5663265306122449,0.37142857142857144,0.6551020408163265,0.5351759995772645,0.6300389066602562,1.0,6.0,True,0.48340085467380295,1.0221034734029633,490
books_small,bert4rec,positive_fallback_true,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.4868584411224107,0.3250340136054422,0.06938775510204082,0.3795918367346939,0.24239243569242383,0.4243404450177375,1.0,6.0,True,0.07555151813886861,0.16055380131163474,490
books_small,bert4rec,positive_fallback_true,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6743594361915032,0.5705442176870749,0.38571428571428573,0.6510204081632653,0.5370715974489838,0.6343769968222355,1.0,6.0,True,0.48977249669309647,1.0371629827544329,490
books_small,bert4rec,fallback_rate_per_user_eq_0,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.43067655807339306,0.25,0.0,0.0,0.0,0.43067655807339306,1.0,6.0,True,0.0,0.0,1
books_small,bert4rec,fallback_rate_per_user_eq_0,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6309297535714575,0.5,0.0,1.0,0.6309297535714575,0.6309297535714575,1.0,6.0,True,0.46497352071792736,1.0,1
books_small,bert4rec,fallback_rate_per_user_eq_0,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.38685280723454163,0.2,0.0,0.0,0.0,0.38685280723454163,1.0,6.0,True,-0.10175559829607274,-0.19999999999999996,1
books_small,bert4rec,fallback_rate_per_user_eq_0,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,1.0,6.0,True,0.16096404744368115,0.33333333333333326,1
books_small,bert4rec,fallback_rate_per_user_0_to_0.5,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4846779626272487,0.31886792452830187,0.03018867924528302,0.4830188679245283,0.27340230800539456,0.4658594697234287,1.0,6.0,True,0.0,0.0,265
books_small,bert4rec,fallback_rate_per_user_0_to_0.5,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.7156186840692877,0.6231446540880503,0.4339622641509434,0.7433962264150943,0.6119007487466359,0.6981443692300263,1.0,6.0,True,0.4764828179729901,0.9542406311637082,265
books_small,bert4rec,fallback_rate_per_user_0_to_0.5,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5216563516815313,0.3684905660377359,0.09433962264150944,0.49056603773584906,0.3181447063611917,0.49074025619668404,1.0,6.0,True,0.07629476045050063,0.1556213017751481,265
books_small,bert4rec,fallback_rate_per_user_0_to_0.5,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.7234788736015696,0.6338993710691824,0.45660377358490567,0.7433962264150943,0.6202570562129425,0.7060045587623082,1.0,6.0,True,0.49270016255716476,0.9879684418145956,265
books_small,bert4rec,fallback_rate_per_user_gt_0.5,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4195517026383869,0.24045584045584045,0.008547008547008548,0.19230769230769232,0.10770122562576474,0.2992937206660205,1.0,6.0,True,0.0,0.0,234
books_small,bert4rec,fallback_rate_per_user_gt_0.5,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6223629021288202,0.502991452991453,0.29914529914529914,0.5641025641025641,0.4528860283577581,0.553861519992662,1.0,6.0,True,0.4833997769882415,1.091824644549763,234
books_small,bert4rec,fallback_rate_per_user_gt_0.5,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.4499784610416243,0.27927350427350434,0.04700854700854701,0.2564102564102564,0.1606618634920655,0.3495097672419258,1.0,6.0,True,0.07252207108658147,0.1614336492890998,234
books_small,bert4rec,fallback_rate_per_user_gt_0.5,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6206199922409656,0.5010683760683761,0.3034188034188034,0.5555555555555556,0.44851116077534003,0.5551631159775254,1.0,6.0,True,0.479245557432239,1.0838270142180095,234
