domain,scope,method,winner_by_ndcg,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,HR@10,NDCG@10,MRR,coverage@10,head_exposure_ratio@10,longtail_coverage@10,out_of_candidate_rate,robustness_role,source_type,source_file
books,small500,SRPD-v4,no,500,1.0,1.3922835771496176,-1.0,6.0,1.0,0.6987160482239136,0.6024666666666667,0.9994997498749375,0.20613742494996665,0.9987261146496815,0.0,gap-gated repair ablation against v2,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
books,small500,SRPD-v5,no,500,1.0,1.3779244225614238,-0.994,6.0,1.0,0.6973998951450392,0.6008000000000001,0.9984992496248124,0.20627503337783712,0.9961783439490446,0.0,direct-anchor repair ablation against v4,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
electronics,small500,direct,no,500,1.0,1.9723466339510634,-0.832,6.0,1.0,0.6583007651522705,0.5471666666666666,1.0,0.22866666666666666,1.0,0.0,non_uncertainty decision baseline,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_local_rank_small500/tables/ranking_metrics.csv
electronics,small500,structured_risk,no,500,1.0,1.9723466339510634,-0.832,6.0,1.0,0.6583007651522705,0.5471666666666666,1.0,0.22866666666666666,1.0,0.0,hand-crafted uncertainty-aware ranking baseline,rerank_results,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_local_structured_risk_small500/tables/rerank_results.csv
electronics,small500,SRPD-v2,no,500,0.998,1.358500434866117,-0.024,6.0,1.0,0.6429579068580471,0.5278333333333333,0.9465731246627092,0.2333577176298464,0.9335180055401662,0.002,uncertainty-weighted trainable distillation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
electronics,small500,SRPD-v4,no,500,1.0,1.2756639828103362,-1.0,6.0,1.0,0.6594050381443246,0.5492333333333334,1.0,0.22866666666666666,1.0,0.0,gap-gated repair ablation against v2,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
electronics,small500,SRPD-v5,yes,500,1.0,1.295162233183626,-1.0,6.0,1.0,0.6621001800786173,0.5528333333333333,1.0,0.22840946982327442,1.0,0.0,direct-anchor repair ablation against v4,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
movies,small500,direct,no,500,0.992,2.110825735223596,-0.092,6.0,1.0,0.5730601060765828,0.43896666666666667,1.001034661148474,0.20927903871829107,0.9974259974259975,0.008,non_uncertainty decision baseline,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_local_rank_small500/tables/ranking_metrics.csv
movies,small500,structured_risk,yes,500,0.992,2.110825735223596,-0.092,6.0,1.0,0.5731826885570888,0.43910000000000005,1.0,0.209,1.0,0.008,hand-crafted uncertainty-aware ranking baseline,rerank_results,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_local_structured_risk_small500/tables/rerank_results.csv
movies,small500,SRPD-v2,no,500,0.998,1.6597403196264058,-1.0,6.0,1.0,0.5373477157607484,0.39223333333333327,0.999482669425763,0.2092092092092092,0.9987129987129987,0.002,uncertainty-weighted trainable distillation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
movies,small500,SRPD-v4,no,500,1.0,1.5776448544380255,-1.0,6.0,1.0,0.546388555376638,0.40436666666666665,1.0,0.209,1.0,0.0,gap-gated repair ablation against v2,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
movies,small500,SRPD-v5,no,500,1.0,1.6110633591179504,-1.0,6.0,1.0,0.5433505118993123,0.40020000000000006,1.0,0.209,1.0,0.0,direct-anchor repair ablation against v4,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
